"";"Country";"Brand";"Month";"Gross.Sales";"Net.Sales";"Volume";"Mgmt_Sales";"Total_expenses";"Expense_A240";"Expense_B240";"Expense_D240";"Expense_Q240"
"62";"Canada";"AFINITOR";2017-02-01;3710109,84;2819075,04;142065;2819074,9648;242900;173700;69200;0;0
"63";"Canada";"AFINITOR";2017-03-01;4049119,95;3226260,05;155505;3226260,0107;144600;199100;-54500;0;0
"64";"Canada";"AFINITOR";2017-04-01;2982518,12;2359631,01;113655;2359631,0236;346000;176400;169600;0;0
"65";"Canada";"AFINITOR";2017-05-01;3211799,94;2690590,34;125580;2690590,3848;188100;170200;17900;0;0
"66";"Canada";"AFINITOR";2017-06-01;3681729,3;2756170,57;142230;2756170,5097;31999,9999999999;173600;-141600;0;0
"67";"Canada";"AFINITOR";2017-07-01;3351841,38;2467720,16;131433,75;2467720,1192;244500;153200;91300;0;0
"68";"Canada";"AFINITOR";2017-08-01;3122230,2;2195201,83;111892,5;2195201,8184;311600;165900;145700;0;0
"69";"Canada";"AFINITOR";2017-09-01;3520499,76;2597432,95;134475;2597432,9414;171700;184700;-13000;0;0
"70";"Canada";"AFINITOR";2017-10-01;3001428,5;1928021,48;113925;1928021,5293;281300;171700;109600;0;0
"71";"Canada";"AFINITOR";2017-11-01;4298821,18;3393944,7;169237,5;3393944,7578;536000;74100,0000000001;166300;0;295600
"72";"Canada";"AFINITOR";2017-12-01;3131179,32;2298132,41;118380;2298132,4161;247300;192100;13700;0;41500
"73";"Canada";"AFINITOR";2018-01-01;3244470,58;2363153,96;121965;2363153,9902;211000;127400;66300;0;17300
"74";"Canada";"AFINITOR";2018-02-01;3202565,44;2455742,96;122940;2455743,0039;217900;86200;113600;0;18100
"75";"Canada";"AFINITOR";2018-03-01;4156192,92;3141038,12;155227,5;3141038,104;77500;89900;-43000;0;30600
"76";"Canada";"AFINITOR";2018-04-01;3279137,32;2227827,82;125437,5;2227827,7656;208600;87100;111400;0;10100
"77";"Canada";"AFINITOR";2018-05-01;4067265,63;2670665,64;154639,5;2670665,5752;169900;102200;46100;0;21600
"78";"Canada";"AFINITOR";2018-06-01;3856138,92;2645622,4;148050;2645622,3721;35600;90600;-73000;0;18000
"79";"Canada";"AFINITOR";2018-07-01;4199127,9;2945930,1;155433,75;2945930,1075;217700;102700;100000;0;15000
"80";"Canada";"AFINITOR";2018-08-01;4480478,43;3220566,15;162112,5;3220566,2057;167800;98199,9999999999;42800;0;26800
"81";"Canada";"AFINITOR";2018-09-01;3675283,23;2799058,93;127687,5;2799059,0058;106100;100600;-17300;0;22800
"82";"Canada";"AFINITOR";2018-10-01;4433353,44;3061533,33;152587,5;3061533,2713;212500;126000;68400;0;18100
"83";"Canada";"AFINITOR";2018-11-01;4989268,77;3439736,89;164522,52;3439736,916;344700;160900;159800;0;24000
"84";"Canada";"AFINITOR";2018-12-01;3520783,56;2273041,59;118455;2273041,6465;213700;130400;64400;0;18900
"85";"Canada";"AFINITOR";2019-01-01;3096921,84;1915501,79;108773,25;1915501,7969;163000;103800;47800;0;11400
"86";"Canada";"AFINITOR";2019-02-01;3557818,8;2576433,07;130886,25;2576433,0567;173800;112600;46500;0;14700
"87";"Canada";"AFINITOR";2019-03-01;3276737,34;2104449,98;109773,75;2104449,9668;71900;108100;-39900;0;3700
"88";"Canada";"AFINITOR";2019-04-01;3784476,42;3071760,49;141225;3071760,5284;137100;64600;62100;0;10400
"89";"Canada";"AFINITOR";2019-05-01;NA;NA;NA;NA;161082,866;86955,153;61854,908;0;12272,805
"90";"Canada";"AFINITOR";2019-06-01;NA;NA;NA;NA;63722,489;88339,947;-36045,092;0;11427,634
"91";"Canada";"AFINITOR";2019-07-01;NA;NA;NA;NA;161444,08;87604,916;61854,908;0;11984,256
"92";"Canada";"AFINITOR";2019-08-01;NA;NA;NA;NA;138302,492;84577,817;41854,908;0;11869,767
"93";"Canada";"AFINITOR";2019-09-01;NA;NA;NA;NA;49101,13;83821,764;-46045,092;0;11324,458
"94";"Canada";"AFINITOR";2019-10-01;NA;NA;NA;NA;148743,457;94208,599;41854,908;0;12679,95
"95";"Canada";"AFINITOR";2019-11-01;NA;NA;NA;NA;168606,156;103654,793;52854,908;0;12096,455
"96";"Canada";"AFINITOR";2019-12-01;NA;NA;NA;NA;113847,347;82279,955;12866,626;0;18700,766
"97";"Canada";"AFINITOR";2020-01-01;NA;NA;NA;NA;5451,61663796922;0;0;0;5451,61663796922
"98";"Canada";"AFINITOR";2020-02-01;NA;NA;NA;NA;7029,71619106558;0;0;0;7029,71619106558
"99";"Canada";"AFINITOR";2020-03-01;NA;NA;NA;NA;1769,38434741106;0;0;0;1769,38434741106
"100";"Canada";"AFINITOR";2020-04-01;NA;NA;NA;NA;5680,0302890724;0;0;0;5680,0302890724
"101";"Canada";"AFINITOR";2020-05-01;NA;NA;NA;NA;5869,00245022385;0;0;0;5869,00245022385
"102";"Canada";"AFINITOR";2020-06-01;NA;NA;NA;NA;5464,83154798446;0;0;0;5464,83154798446
"103";"Canada";"AFINITOR";2020-07-01;NA;NA;NA;NA;5731,01485993706;0;0;0;5731,01485993706
"104";"Canada";"AFINITOR";2020-08-01;NA;NA;NA;NA;5676,26484789632;0;0;0;5676,26484789632
"105";"Canada";"AFINITOR";2020-09-01;NA;NA;NA;NA;5415,49154813892;0;0;0;5415,49154813892
"106";"Canada";"AFINITOR";2020-10-01;NA;NA;NA;NA;6063,70406917701;0;0;0;6063,70406917701
"107";"Canada";"AFINITOR";2020-11-01;NA;NA;NA;NA;5784,66976653035;0;0;0;5784,66976653035
"108";"Canada";"AFINITOR";2020-12-01;NA;NA;NA;NA;8942,93044459379;0;0;0;8942,93044459379
"109";"Canada";"AFINITOR";2021-01-01;NA;NA;NA;NA;5451,61663796922;0;0;0;5451,61663796922
"110";"Canada";"AFINITOR";2021-02-01;NA;NA;NA;NA;7029,71619106558;0;0;0;7029,71619106558
"111";"Canada";"AFINITOR";2021-03-01;NA;NA;NA;NA;1769,38434741106;0;0;0;1769,38434741106
"112";"Canada";"AFINITOR";2021-04-01;NA;NA;NA;NA;5680,0302890724;0;0;0;5680,0302890724
"113";"Canada";"AFINITOR";2021-05-01;NA;NA;NA;NA;5869,00245022385;0;0;0;5869,00245022385
"114";"Canada";"AFINITOR";2021-06-01;NA;NA;NA;NA;5464,83154798446;0;0;0;5464,83154798446
"115";"Canada";"AFINITOR";2021-07-01;NA;NA;NA;NA;5731,01485993706;0;0;0;5731,01485993706
"116";"Canada";"AFINITOR";2021-08-01;NA;NA;NA;NA;5676,26484789632;0;0;0;5676,26484789632
"117";"Canada";"AFINITOR";2021-09-01;NA;NA;NA;NA;5415,49154813892;0;0;0;5415,49154813892
"118";"Canada";"AFINITOR";2021-10-01;NA;NA;NA;NA;6063,70406917701;0;0;0;6063,70406917701
"119";"Canada";"AFINITOR";2021-11-01;NA;NA;NA;NA;5784,66976653035;0;0;0;5784,66976653035
"120";"Canada";"AFINITOR";2021-12-01;NA;NA;NA;NA;8942,93044459379;0;0;0;8942,93044459379
"121";"Canada";"AFINITOR";2022-01-01;NA;NA;NA;NA;5451,61663796922;0;0;0;5451,61663796922
"122";"Canada";"AFINITOR";2022-02-01;NA;NA;NA;NA;7029,71619106558;0;0;0;7029,71619106558
"123";"Canada";"AFINITOR";2022-03-01;NA;NA;NA;NA;1769,38434741106;0;0;0;1769,38434741106
"124";"Canada";"AFINITOR";2022-04-01;NA;NA;NA;NA;5680,0302890724;0;0;0;5680,0302890724
"125";"Canada";"AFINITOR";2022-05-01;NA;NA;NA;NA;5869,00245022385;0;0;0;5869,00245022385
"126";"Canada";"AFINITOR";2022-06-01;NA;NA;NA;NA;5464,83154798446;0;0;0;5464,83154798446
"127";"Canada";"AFINITOR";2022-07-01;NA;NA;NA;NA;5731,01485993706;0;0;0;5731,01485993706
"128";"Canada";"AFINITOR";2022-08-01;NA;NA;NA;NA;5676,26484789632;0;0;0;5676,26484789632
"129";"Canada";"AFINITOR";2022-09-01;NA;NA;NA;NA;5415,49154813892;0;0;0;5415,49154813892
"130";"Canada";"AFINITOR";2022-10-01;NA;NA;NA;NA;6063,70406917701;0;0;0;6063,70406917701
"131";"Canada";"AFINITOR";2022-11-01;NA;NA;NA;NA;5784,66976653035;0;0;0;5784,66976653035
"132";"Canada";"AFINITOR";2022-12-01;NA;NA;NA;NA;8942,93044459379;0;0;0;8942,93044459379
"133";"Canada";"DESFERAL";2012-01-01;164218,51;104388,22;6228000;104388,22;4000;0;0;4000;0
"134";"Canada";"DESFERAL";2012-02-01;109586,21;68028,27;4040000;68028,27;1000;0;0;1000;0
"135";"Canada";"DESFERAL";2012-03-01;172304,2;117660,23;6664000;117660,23;0;0;0;0;0
"136";"Canada";"DESFERAL";2012-04-01;171405,09;105436,69;6597000;105436,69;5000;0;0;5000;0
"137";"Canada";"DESFERAL";2012-05-01;159963,18;94476,38;6080250;94476,38;3000;0;0;3000;0
"138";"Canada";"DESFERAL";2012-06-01;131799,95;86916,38;5219000;86916,38;4000;0;0;4000;0
"139";"Canada";"DESFERAL";2012-07-01;134000,29;78477,51;5156750;78477,51;3000;0;0;3000;0
"140";"Canada";"DESFERAL";2012-08-01;169650,77;107630,08;6525500;107630,08;3000;0;0;3000;0
"141";"Canada";"DESFERAL";2012-09-01;115440,87;81767,99;4268000;81767,99;0;0;0;0;0
"142";"Canada";"DESFERAL";2012-10-01;127926,37;83867,84;4924000;83867,84;3000;0;0;3000;0
"143";"Canada";"DESFERAL";2012-11-01;139513,07;87972,56;5103250;87972,56;1000;0;0;1000;0
"144";"Canada";"DESFERAL";2012-12-01;98681,57;61509,42;4071250;61509,42;3000;0;0;3000;0
"145";"Canada";"DESFERAL";2013-01-01;155870,35;96090,01;5812750;96090,01;2000;0;0;2000;0
"146";"Canada";"DESFERAL";2013-02-01;119239,68;75666,97;4387000;75626,97;1000;0;0;1000;0
"147";"Canada";"DESFERAL";2013-03-01;144557,76;108672,14;5309000;108672,14;1000;0;0;1000;0
"148";"Canada";"DESFERAL";2013-04-01;131266,1;72511,65;4652500;72486,27;2000;0;0;2000;0
"149";"Canada";"DESFERAL";2013-05-01;213904,26;138195,3;7631250;138195,3;2000;0;0;2000;0
"150";"Canada";"DESFERAL";2013-06-01;172477,79;95890,28;6230000;95850,28;3000;0;0;3000;0
"151";"Canada";"DESFERAL";2013-07-01;165940,03;105198,02;5924000;105198,02;2000;0;0;2000;0
"152";"Canada";"DESFERAL";2013-08-01;140473,62;87089,86;5023000;87069,86;1100;0;0;1100;0
"153";"Canada";"DESFERAL";2013-09-01;170119,12;103797,86;6042000;103797,86;1700;0;0;1700;0
"154";"Canada";"DESFERAL";2013-10-01;234901,94;98877,77;9307250;98837,77;6700;0;0;6700;0
"155";"Canada";"DESFERAL";2013-11-01;155323,32;107323,38;5787500;107323,38;2500;0;0;2500;0
"156";"Canada";"DESFERAL";2013-12-01;178083,66;118005,33;6285750;118005,33;2000;0;0;2000;0
"157";"Canada";"DESFERAL";2014-01-01;145369,3;92238,2;4828750;92238,2;100;0;0;100;0
"158";"Canada";"DESFERAL";2014-02-01;115838,36;83774,91;3880500;83774,91;0;0;0;0;0
"159";"Canada";"DESFERAL";2014-03-01;152711,96;68556,32;5145500;68516,32;0;0;0;0;0
"160";"Canada";"DESFERAL";2014-04-01;119987,68;82054,09;3880000;82054,09;0;0;0;0;0
"161";"Canada";"DESFERAL";2014-05-01;168189;117613;5518000;117613;0;0;0;0;0
"162";"Canada";"DESFERAL";2014-06-01;114856,32;86573,86;3717000;86573,86;0;0;0;0;0
"163";"Canada";"DESFERAL";2014-07-01;188309,91;121375,96;6179000;121355,96;0;0;0;0;0
"164";"Canada";"DESFERAL";2014-08-01;158822,73;97656,38;5194000;97656,38;0;0;0;0;0
"165";"Canada";"DESFERAL";2014-09-01;94764,42;82726,75;3098000;82726,75;0;0;0;0;0
"166";"Canada";"DESFERAL";2014-10-01;147956,67;97091,52;4795000;97091,52;0;0;0;0;0
"167";"Canada";"DESFERAL";2014-11-01;114720,09;57947,52;3749000;57947,52;0;0;0;0;0
"168";"Canada";"DESFERAL";2014-12-01;141167,97;106806,75;4625000;106806,75;0;0;0;0;0
"169";"Canada";"DESFERAL";2015-01-01;145763,13;87465,23;4760000;87425,23;0;0;0;0;0
"170";"Canada";"DESFERAL";2015-02-01;133632,27;91105,39;4306000;91025,39;0;0;0;0;0
"171";"Canada";"DESFERAL";2015-03-01;101985,84;148316,69;3297250;148276,69;0;0;0;0;0
"172";"Canada";"DESFERAL";2015-04-01;163466,94;107469,82;5284000;107469,82;0;0;0;0;0
"173";"Canada";"DESFERAL";2015-05-01;145669,92;102920,78;4739000;102900,78;0;0;0;0;0
"174";"Canada";"DESFERAL";2015-06-01;135132,6;127127,16;4347500;127067,16;0;0;0;0;0
"175";"Canada";"DESFERAL";2015-07-01;143803,56;77727,74;4654000;77727,74;0;0;0;0;0
"176";"Canada";"DESFERAL";2015-08-01;91382,49;49341,88;2962000;49321,88;0;0;0;0;0
"177";"Canada";"DESFERAL";2015-09-01;112930,29;66651,87;3636500;66651,87;0;0;0;0;0
"178";"Canada";"DESFERAL";2015-10-01;71643,63;49503,37;2318000;49503,37;0;0;0;0;0
"179";"Canada";"DESFERAL";2015-11-01;136907,31;108498,03;4449000;108491,79;0;0;0;0;0
"180";"Canada";"DESFERAL";2015-12-01;146818,02;92588,42;4801000;92588,42;0;0;0;0;0
"181";"Canada";"DESFERAL";2016-01-01;92831,49;47912,71;3013000;47892,71;0;0;0;0;0
"182";"Canada";"DESFERAL";2016-02-01;97495,44;61120,86;3103000;61100,86;0;0;0;0;0
"183";"Canada";"DESFERAL";2016-03-01;114528,69;88211,15;3640750;88171,15;0;0;0;0;0
"184";"Canada";"DESFERAL";2016-04-01;151825,49;99723,73;4712000;99683,73;0;0;0;0;0
"185";"Canada";"DESFERAL";2016-05-01;99336,01;68644,49;3201750;68644,49;0;0;0;0;0
"186";"Canada";"DESFERAL";2016-06-01;118548,2;94569,12;3768250;94549,12;0;0;0;0;0
"187";"Canada";"DESFERAL";2016-07-01;99265,14;93867,35;3143000;93847,35;0;0;0;0;0
"188";"Canada";"DESFERAL";2016-08-01;108286,89;105805,88;3509000;105805,88;0;0;0;0;0
"189";"Canada";"DESFERAL";2016-09-01;82095,94;85973,53;2606750;85953,53;0;0;0;0;0
"190";"Canada";"DESFERAL";2016-10-01;57220,54;54708,41;1832000;54708,41;0;0;0;0;0
"191";"Canada";"DESFERAL";2016-11-01;16587,23;29024,27;501000;29024,27;0;0;0;0;0
"192";"Canada";"DESFERAL";2016-12-01;21021,44;20551,49;604000;20551,49;0;0;0;0;0
"193";"Canada";"DESFERAL";2017-01-01;16915,69;14119,37;423000;0;0;0;0;0;0
"194";"Canada";"DESFERAL";2017-02-01;7390,35;544,55;-2000;0;0;0;0;0;0
"195";"Canada";"DESFERAL";2017-03-01;16915,69;11375,34;364000;0;0;0;0;0;0
"196";"Canada";"DESFERAL";2017-04-01;14031,8;9133,86;299000;-0,000000000000909494701772928;0;0;0;0;0
"197";"Canada";"DESFERAL";2017-05-01;10730,2;10229,77;325000;0;0;0;0;0;0
"198";"Canada";"DESFERAL";2017-06-01;49854,16;100168,66;1490000;0,00000000000727595761418343;0;0;0;0;0
"199";"Canada";"DESFERAL";2017-07-01;50679,56;42171;1368000;0;0;0;0;0;0
"200";"Canada";"DESFERAL";2017-08-01;22781,04;19760,1;606000;0,00000000000159161572810262;0;0;0;0;0
"201";"Canada";"DESFERAL";2017-09-01;22781,04;24069,65;663000;0;0;0;0;0;0
"202";"Canada";"DESFERAL";2017-10-01;32190,6;29076,01;876000;0,000000000000454747350886464;0;0;0;0;0
"203";"Canada";"DESFERAL";2017-11-01;40923,71;36251,85;1151500;0;0;0;0;0;0
"204";"Canada";"DESFERAL";2017-12-01;40279,52;37334,21;1158000;-0,00000000000204636307898909;0;0;0;0;0
"205";"Canada";"DESFERAL";2018-01-01;20304,84;17735,62;557750;17698,2093;0;0;0;0;0
"206";"Canada";"DESFERAL";2018-02-01;19149,28;16382,33;497000;16382,3301;0;0;0;0;0
"207";"Canada";"DESFERAL";2018-03-01;41104,92;33431,81;1097500;33431,8119;0;0;0;0;0
"208";"Canada";"DESFERAL";2018-04-01;21799,48;19053,84;545000;19053,8398;0;0;0;0;0
"209";"Canada";"DESFERAL";2018-05-01;27809,1;25576,98;772250;25576,9809;0;0;0;0;0
"210";"Canada";"DESFERAL";2018-06-01;43518,14;37663,42;1238750;37663,422;0;0;0;0;0
"211";"Canada";"DESFERAL";2018-07-01;26834,97;26138,04;780000;26138,041;0;0;0;0;0
"212";"Canada";"DESFERAL";2018-08-01;32023,94;31045,4;900000;31045,4004;0;0;0;0;0
"213";"Canada";"DESFERAL";2018-09-01;26803,83;24249,52;770000;24249,5209;0;0;0;0;0
"214";"Canada";"DESFERAL";2018-10-01;63914,85;44719,24;1870000;44719,2422;0;0;0;0;0
"215";"Canada";"DESFERAL";2018-11-01;67047,96;56289,96;1710000;56289,9617;0;0;0;0;0
"216";"Canada";"DESFERAL";2018-12-01;25630,8;20931,9;735000;20931,9013;0;0;0;0;0
"217";"Canada";"DESFERAL";2019-01-01;18579,08;10317,16;266750;10317,1612;0;0;0;0;0
"218";"Canada";"DESFERAL";2019-02-01;52133,88;47832,28;1525500;47832,2827;0;0;0;0;0
"219";"Canada";"DESFERAL";2019-03-01;48357,9;40129,88;1338125;40129,8813;0;0;0;0;0
"220";"Canada";"DESFERAL";2019-04-01;29624,82;32065,74;722375;32065,7416;0;0;0;0;0
"221";"Canada";"DESFERAL";2019-05-01;NA;NA;NA;NA;0;0;0;0;0
"222";"Canada";"DESFERAL";2019-06-01;NA;NA;NA;NA;0;0;0;0;0
"223";"Canada";"DESFERAL";2019-07-01;NA;NA;NA;NA;0;0;0;0;0
"224";"Canada";"DESFERAL";2019-08-01;NA;NA;NA;NA;0;0;0;0;0
"225";"Canada";"DESFERAL";2019-09-01;NA;NA;NA;NA;0;0;0;0;0
"226";"Canada";"DESFERAL";2019-10-01;NA;NA;NA;NA;0;0;0;0;0
"227";"Canada";"DESFERAL";2019-11-01;NA;NA;NA;NA;0;0;0;0;0
"228";"Canada";"DESFERAL";2019-12-01;NA;NA;NA;NA;0;0;0;0;0
"229";"Canada";"DESFERAL";2020-01-01;NA;NA;NA;NA;0;0;0;0;0
"230";"Canada";"DESFERAL";2020-02-01;NA;NA;NA;NA;0;0;0;0;0
"231";"Canada";"DESFERAL";2020-03-01;NA;NA;NA;NA;0;0;0;0;0
"232";"Canada";"DESFERAL";2020-04-01;NA;NA;NA;NA;0;0;0;0;0
"233";"Canada";"DESFERAL";2020-05-01;NA;NA;NA;NA;0;0;0;0;0
"234";"Canada";"DESFERAL";2020-06-01;NA;NA;NA;NA;0;0;0;0;0
"235";"Canada";"DESFERAL";2020-07-01;NA;NA;NA;NA;0;0;0;0;0
"236";"Canada";"DESFERAL";2020-08-01;NA;NA;NA;NA;0;0;0;0;0
"237";"Canada";"DESFERAL";2020-09-01;NA;NA;NA;NA;0;0;0;0;0
"238";"Canada";"DESFERAL";2020-10-01;NA;NA;NA;NA;0;0;0;0;0
"239";"Canada";"DESFERAL";2020-11-01;NA;NA;NA;NA;0;0;0;0;0
"240";"Canada";"DESFERAL";2020-12-01;NA;NA;NA;NA;0;0;0;0;0
"241";"Canada";"DESFERAL";2021-01-01;NA;NA;NA;NA;0;0;0;0;0
"242";"Canada";"DESFERAL";2021-02-01;NA;NA;NA;NA;0;0;0;0;0
"243";"Canada";"DESFERAL";2021-03-01;NA;NA;NA;NA;0;0;0;0;0
"244";"Canada";"DESFERAL";2021-04-01;NA;NA;NA;NA;0;0;0;0;0
"245";"Canada";"DESFERAL";2021-05-01;NA;NA;NA;NA;0;0;0;0;0
"246";"Canada";"DESFERAL";2021-06-01;NA;NA;NA;NA;0;0;0;0;0
"247";"Canada";"DESFERAL";2021-07-01;NA;NA;NA;NA;0;0;0;0;0
"248";"Canada";"DESFERAL";2021-08-01;NA;NA;NA;NA;0;0;0;0;0
"249";"Canada";"DESFERAL";2021-09-01;NA;NA;NA;NA;0;0;0;0;0
"250";"Canada";"DESFERAL";2021-10-01;NA;NA;NA;NA;0;0;0;0;0
"251";"Canada";"DESFERAL";2021-11-01;NA;NA;NA;NA;0;0;0;0;0
"252";"Canada";"DESFERAL";2021-12-01;NA;NA;NA;NA;0;0;0;0;0
"253";"Canada";"DESFERAL";2022-01-01;NA;NA;NA;NA;0;0;0;0;0
"254";"Canada";"DESFERAL";2022-02-01;NA;NA;NA;NA;0;0;0;0;0
